pid,contributers,location,title,_date,object_type,current_location,source,order,layout,collection,thumbnail,full,manifest
obj1,Dorothy Livesay,University of Alberta Theatre A,"Canadian League of Poets at University of Alberta, 1970",10-10-1970,Poetry Reading,UAlberta Library Aviary,https://ualberta.aviaryplatform.com/collections/1797/collection_resources/78604,0,qatar_item,spokenweb,"/img/derivatives/iiif/images/obj1/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj1/full/1140,/0/default.jpg",/img/derivatives/iiif/obj1/manifest.json
obj2,George Bowering,University of Alberta Salter Reading Room,"George Bowering, 1980",2-12-1980,Lecture,UAlberta Library Aviary,https://ualberta.aviaryplatform.com/collections/1783/collection_resources/59201?collection_resource_file_id=134014,1,qatar_item,spokenweb,"/img/derivatives/iiif/images/obj2/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj2/full/1140,/0/default.jpg",/img/derivatives/iiif/obj2/manifest.json
obj3,"Douglas Barbour, Penny Chalmers",University of Alberta Salter Reading Room,"Penny Chalmers at University of Alberta, 1977",2-18-1977,Guided Listening Exercise,UAlberta Library Aviary,https://ualberta.aviaryplatform.com/collections/1783/collection_resources/59214?collection_resource_file_id=134027,2,qatar_item,spokenweb,"/img/derivatives/iiif/images/obj3/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj3/full/1140,/0/default.jpg",/img/derivatives/iiif/obj3/manifest.json
obj4,Phyllis Webb,University of Alberta Henderson Hall,"Phyllis Webb at University of Alberta, 1981",1-29-1981,Poetry Reading,UAlberta Library Aviary,https://ualberta.aviaryplatform.com/collections/1783/collection_resources/59208?collection_resource_file_id=134021,3,qatar_item,spokenweb,"/img/derivatives/iiif/images/obj4/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj4/full/1140,/0/default.jpg",/img/derivatives/iiif/obj4/manifest.json
