aviary ID,PURL
85605,https://ualberta.aviaryplatform.com/r/736m03zz0n
85619,https://ualberta.aviaryplatform.com/r/5x25b0021h
85596,https://ualberta.aviaryplatform.com/r/n29p26rb1f
86291,https://ualberta.aviaryplatform.com/r/w08w95213k
85599,https://ualberta.aviaryplatform.com/r/1v5bc3tw4c
85600,https://ualberta.aviaryplatform.com/r/5t3fx74x50
85614,https://ualberta.aviaryplatform.com/r/kk94747x68
85592,https://ualberta.aviaryplatform.com/r/ff3kw58n29
85609,https://ualberta.aviaryplatform.com/r/8w3804zq6q
85593,https://ualberta.aviaryplatform.com/r/736m03zx95
85610,https://ualberta.aviaryplatform.com/r/183416tx1d
85618,https://ualberta.aviaryplatform.com/r/5q4rj49q0m
86293,https://ualberta.aviaryplatform.com/r/2v2c825c6d
86292,https://ualberta.aviaryplatform.com/r/6t0gt5gd6h
85594,https://ualberta.aviaryplatform.com/r/kp7tm7335n
85597,https://ualberta.aviaryplatform.com/r/nz80k27m8w
85616,https://ualberta.aviaryplatform.com/r/804xg9g91v
85602,https://ualberta.aviaryplatform.com/r/4f1mg7gr45
86969,https://ualberta.aviaryplatform.com/r/1v5bc3tx1q
85611,https://ualberta.aviaryplatform.com/r/7940r9n53t
85612,https://ualberta.aviaryplatform.com/r/f76639mc5p
86967,https://ualberta.aviaryplatform.com/r/m03xs5kk0f
86577,https://ualberta.aviaryplatform.com/r/zg6g15vm57
85919,https://ualberta.aviaryplatform.com/r/mc8rb6x89q
85591,https://ualberta.aviaryplatform.com/r/9k45q4sn5c
59202,https://ualberta.aviaryplatform.com/r/0v89g5h34x
59246,https://ualberta.aviaryplatform.com/r/n58cf9k545
120295,https://ualberta.aviaryplatform.com/r/6m3319tj5z
120297,https://ualberta.aviaryplatform.com/r/j678s4m879
